sku,name,category,sourceUrl,oldCandidateAllergens,containsAllergens,mayContainAllergens,oldExtraVsContains,containsMissingFromOld,mayMissingFromOld,containsText,mayContainText
KIMCHI-281,"Dhania, kolendra mielona 100g TRS",przyprawy,https://kimchi.pl/product-pol-281.html,,,,,,,,
KIMCHI-4836,"Dried Soy Stick Beef Flavor, wegetariańskie szaszłyki na ostro z suszonego tofu o smaku wołowiny shaokao 60g - Joytofu XiangXiangZui",dania-gotowe,https://kimchi.pl/product-pol-4836.html,cereals|soybeans|nuts,cereals|soybeans|nuts,,,,,"Produkt zawiera gluten, pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-5142,"Dubai Chocolate Crunchy Knafeh Pistachio, dubajska mleczna czekolada z kremem pistacjowym i ciastem kataifi 90g - Elit",słodycze-przekąski,https://kimchi.pl/product-pol-5142.html,cereals|milk|nuts,cereals|milk|nuts,,,,,"Produkt zawiera mleko, orzechy (pistacje) i pszenicę. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-4987,"Dubai Chocolate Crunchy Pistachio Kunafa, dubajska czekolada z nadzieniem z pistacji i ciasta kataifi 160g - Q Chew",słodycze-przekąski,https://kimchi.pl/product-pol-4987.html,cereals|soybeans|milk|nuts,cereals|soybeans|milk|nuts,,,,,"Produkt zawiera mleko, orzechy (pistacje), pszenicę i soję. Przechowywać w suchym i chłodnym miejscu.",
KIMCHI-3396,"Edomae Inari Age, smażone kieszonki tofu (24 szt.) 540g - Nishimoto",tofu,https://kimchi.pl/product-pol-3396.html,,,,,,,,
KIMCHI-871,"Edomae Inari Age, smażone kieszonki tofu do sushi 240g - Yamato",tofu,https://kimchi.pl/product-pol-871.html,soybeans,cereals|soybeans,,,cereals,,,
KIMCHI-5369,"Edomae Inari Age, smażone kieszonki tofu do sushi 5x8cm 16szt 250g - Misuzu",tofu,https://kimchi.pl/product-pol-5369.html,soybeans,cereals|soybeans,,,cereals,,,
KIMCHI-5472,"Fasola edamame, ziarna soi w zalewie 400g - House of Asia",owoce-marynowane-warzywa,https://kimchi.pl/product-pol-5472.html,,,,,,,,
KIMCHI-3762,"Fasola edamame, ziarna soi w zalewie 400g - ITA-SAN",owoce-marynowane-warzywa,https://kimchi.pl/product-pol-3762.html,,,,,,,,
KIMCHI-2227,Fasolka edamame z wasabi 140g - Golden Turtle Brand,słodycze-przekąski,https://kimchi.pl/product-pol-2227.html,nuts,soybeans,cereals|nuts|mustard,nuts,soybeans,cereals|mustard,Produkt,"może zawierać śladowe ilości musztardy (gorczyca), glutenu oraz orzechów. Przechowywać w suchym i chłodnym miejscu, z dala od działania promieni słonecznych. Po otwarciu spożyć w ciągu 3 dni."
