field_key,source_table,source_column,product_id,product_image_id,product_code,legacy_kimchi_slug,product_slug,image_file,source_url,target_url,source_http_status,source_http_ok,source_content_type,source_content_length,notes
product_images:fafc67a9-aca9-47b0-933d-f46cbe65f0f0:image_large_url,product_images,image_large_url,1fdfd24b-9a0f-466d-9334-2efff41e094b,fafc67a9-aca9-47b0-933d-f46cbe65f0f0,ADG-000016,KIMCHI-41,makaron-pszenny-chow-mien-200g-bali-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-41/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000016/1.webp,200,true,image/webp,69534,
products:45f89ee5-d0fc-4d94-bc3b-814ff8d9bc6f:image_url,products,image_url,45f89ee5-d0fc-4d94-bc3b-814ff8d9bc6f,,ADG-000017,KIMCHI-42,makaron-sojowy-vermicelli-100g-longkou,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-42/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000017/1.webp,200,true,image/webp,72602,
product_images:fdc6bb52-8b57-4b86-887e-7046b788f573:image_large_url,product_images,image_large_url,45f89ee5-d0fc-4d94-bc3b-814ff8d9bc6f,fdc6bb52-8b57-4b86-887e-7046b788f573,ADG-000017,KIMCHI-42,makaron-sojowy-vermicelli-100g-longkou,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-42/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000017/1.webp,200,true,image/webp,72602,
product_images:23e454a0-4b8b-4e09-97e0-e231b0b7470f:image_large_url,product_images,image_large_url,45f89ee5-d0fc-4d94-bc3b-814ff8d9bc6f,23e454a0-4b8b-4e09-97e0-e231b0b7470f,ADG-000017,KIMCHI-42,makaron-sojowy-vermicelli-100g-longkou,2.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-42/2.webp,https://img.zira.pl/asiandeligo/products/ADG-000017/2.webp,200,true,image/webp,50240,
products:f08d64cc-84e1-48c4-9fd7-7ecc88425ed0:image_url,products,image_url,f08d64cc-84e1-48c4-9fd7-7ecc88425ed0,,ADG-000018,KIMCHI-50,wakame-suszone-wodorosty-100g-nobi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-50/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000018/1.webp,200,true,image/webp,76240,
product_images:3ac7ad81-6a1f-439e-8b0e-87a36e72a0db:image_large_url,product_images,image_large_url,f08d64cc-84e1-48c4-9fd7-7ecc88425ed0,3ac7ad81-6a1f-439e-8b0e-87a36e72a0db,ADG-000018,KIMCHI-50,wakame-suszone-wodorosty-100g-nobi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-50/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000018/1.webp,200,true,image/webp,76240,
products:7b815bb4-d6c3-40db-bb53-a1f64b4c6dee:image_url,products,image_url,7b815bb4-d6c3-40db-bb53-a1f64b4c6dee,,ADG-000019,KIMCHI-59,matcha-sproszkowana-zielona-herbata-w-puszce-80g-tian-hu-shan,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-59/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000019/1.webp,200,true,image/webp,66974,
product_images:6000c9c8-630c-49c9-9e69-728fcb2515a3:image_large_url,product_images,image_large_url,7b815bb4-d6c3-40db-bb53-a1f64b4c6dee,6000c9c8-630c-49c9-9e69-728fcb2515a3,ADG-000019,KIMCHI-59,matcha-sproszkowana-zielona-herbata-w-puszce-80g-tian-hu-shan,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-59/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000019/1.webp,200,true,image/webp,66974,
products:f893ac83-94ec-450c-bc1a-d13227650c9a:image_url,products,image_url,f893ac83-94ec-450c-bc1a-d13227650c9a,,ADG-000020,KIMCHI-65,pedy-bambusa-paseczki-225g-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-65/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000020/1.webp,200,true,image/webp,62716,
product_images:863284e9-10b4-4975-9db7-f20740afbc62:image_large_url,product_images,image_large_url,f893ac83-94ec-450c-bc1a-d13227650c9a,863284e9-10b4-4975-9db7-f20740afbc62,ADG-000020,KIMCHI-65,pedy-bambusa-paseczki-225g-house-of-asia,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-65/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000020/1.webp,200,true,image/webp,62716,
products:6281084e-5e2a-4935-81b5-e47d3e944d9f:image_url,products,image_url,6281084e-5e2a-4935-81b5-e47d3e944d9f,,ADG-000021,KIMCHI-68,tempura-miks-do-smazenia-1kg-ottogi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-68/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000021/1.webp,200,true,image/webp,94006,
product_images:baec272c-8913-4bb7-bbc0-e0332a720796:image_large_url,product_images,image_large_url,6281084e-5e2a-4935-81b5-e47d3e944d9f,baec272c-8913-4bb7-bbc0-e0332a720796,ADG-000021,KIMCHI-68,tempura-miks-do-smazenia-1kg-ottogi,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-68/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000021/1.webp,200,true,image/webp,94006,
products:a105a088-e5ad-4ee6-b674-90ff5aaa97eb:image_url,products,image_url,a105a088-e5ad-4ee6-b674-90ff5aaa97eb,,ADG-000022,KIMCHI-70,wasabi-w-proszku-100g-asia-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-70/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000022/1.webp,200,true,image/webp,53824,
product_images:50294d7f-14e1-4419-b486-a8382be4f599:image_large_url,product_images,image_large_url,a105a088-e5ad-4ee6-b674-90ff5aaa97eb,50294d7f-14e1-4419-b486-a8382be4f599,ADG-000022,KIMCHI-70,wasabi-w-proszku-100g-asia-kitchen,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-70/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000022/1.webp,200,true,image/webp,53824,
products:9f0b88dd-4b9d-4844-897a-9e9303511076:image_url,products,image_url,9f0b88dd-4b9d-4844-897a-9e9303511076,,ADG-000023,KIMCHI-72,rzodkiew-oshinko-takuan-marynowana-cala-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-72/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000023/1.webp,200,true,image/webp,31114,
product_images:a7892d7b-28ce-4c50-9418-6dbd0ba44b31:image_large_url,product_images,image_large_url,9f0b88dd-4b9d-4844-897a-9e9303511076,a7892d7b-28ce-4c50-9418-6dbd0ba44b31,ADG-000023,KIMCHI-72,rzodkiew-oshinko-takuan-marynowana-cala-500g,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-72/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000023/1.webp,200,true,image/webp,31114,
products:95c9206b-d8dc-42d6-b28c-ad31b5a7f0ea:image_url,products,image_url,95c9206b-d8dc-42d6-b28c-ad31b5a7f0ea,,ADG-000024,KIMCHI-77,pasta-shinshu-shiro-miso-jasna-400g-hikari-miso,1.webp,https://img.zira.pl/asiandeligo/products/KIMCHI-77/1.webp,https://img.zira.pl/asiandeligo/products/ADG-000024/1.webp,200,true,image/webp,55490,
